
Dispositivo usado pelo Pytorch: cuda:1

*****************************************

-----> GRID:         n
0     100
1    adam
2      32
3     0.5
4  0.0001


--> Fold: 0

Format of train data: frames: 118687 , pressures: 118687 

Format of test data: frames: 48208 , pressures: 48208 

Begin of training: 2022-08-15 15:12:25

Epoch,train_loss,test_loss,lr
1,7.84925749877869,1.8374914159107145,0.0001
2,2.739203903931561,1.6077929642632376,0.0001
3,2.5592190234382763,1.5815183365273808,0.0001
4,2.501667892942534,1.5550486810095039,0.0001
5,2.428885030550403,1.60068005386693,0.0001
6,2.4156581866641544,1.5852532017760983,0.0001
7,2.3583462304521294,1.6661573226829989,0.0001
8,2.3325136419929047,1.6109423635412543,0.0001
9,2.2927516821132063,1.5990453757390173,0.0001
10,2.272077990626029,1.6473502771855983,0.0001
11,2.253858978229573,1.6198946404472914,0.0001
12,2.2142798123767222,1.581021967674615,0.0001
13,2.188371873152613,1.6341028843957537,0.0001
14,2.168227006062307,1.6155806807152229,0.0001
15,2.1460910139459264,1.6517457433227838,0.0001
16,2.104264529238624,1.5997682081284552,0.0001
17,2.1040331510785264,1.612379957882869,0.0001
18,2.054998732249542,1.6481183944511033,0.0001
19,2.059995504153903,1.6619480217855818,0.0001
20,2.040939965139473,1.6194790625856978,0.0001
21,2.005956131112193,1.6743289577937237,0.0001
22,1.986984271522994,1.6597693606805706,0.0001
23,1.9687021983364066,1.6439307464142074,0.0001
24,1.9428879682765106,1.673018307087037,0.0001
25,1.932167026304948,1.6797951897723673,0.0001
26,1.9015578550288348,1.6254402493196525,0.0001
27,1.8897324339435184,1.6266399440816006,0.0001
28,1.8663610872729959,1.6492082969432014,0.0001
29,1.8558929239074058,1.6786653968816414,0.0001
30,1.8325769147579802,1.589264637065709,0.0001
31,1.8018379793169685,1.5818722546496136,0.0001
32,1.7830057960856343,1.6177710597097439,0.0001
33,1.7806899140356172,1.6124379634461659,0.0001
34,1.762731828677362,1.6555246900230667,0.0001
35,1.7383926003311612,1.6012989331652332,0.0001
36,1.7243933112562169,1.596950037596474,0.0001
37,1.7054877901983634,1.6082572847624528,0.0001
38,1.6905097223318115,1.6475850600198,0.0001
39,1.6857719263576632,1.6144896612787532,0.0001
40,1.6653906262669804,1.6309803788362944,0.0001
41,1.6536759292542629,1.5956379361870912,0.0001
42,1.639473520639162,1.6126621055856158,0.0001
43,1.6251806182082242,1.6443165093956993,0.0001
44,1.6104592340401993,1.6838084291209428,0.0001
45,1.5907998947754611,1.5993224817866432,0.0001
46,1.587839537793075,1.6398564321399922,0.0001
47,1.555646094150317,1.6252109527825203,0.0001
48,1.5427348590437118,1.640954908386476,0.0001
49,1.543411716694265,1.6699233786428536,0.0001
50,1.531435310278147,1.7126125903341576,0.0001
51,1.524166226692359,1.6462299862521803,0.0001
52,1.5060245833264492,1.640918997042845,0.0001
53,1.4919639545475,1.6796310191606953,0.0001
54,1.4769371848650845,1.5730993154037844,0.0001
55,1.4820259765220414,1.6742077295797584,0.0001
56,1.4541250294223569,1.6295262857352018,0.0001
57,1.4514778428770005,1.6407087684547814,0.0001
58,1.4395296403454718,1.6376524556925065,0.0001
59,1.42810594800927,1.7463755549463755,0.0001
60,1.4156614214897028,1.6240834981381063,0.0001
61,1.4078629330085852,1.6224949921134615,0.0001
62,1.389918377727921,1.6245860721626737,0.0001
63,1.3887723859637597,1.6029084692668978,0.0001
64,1.3782602314776762,1.6628162079325717,0.0001
65,1.374511763682485,1.6662147345136316,0.0001
66,1.36399303176198,1.7080149582544542,0.0001
67,1.35434635404179,1.6633830529692637,0.0001
68,1.3467160631588895,1.6695083057397868,0.0001
69,1.334088141511926,1.6929339523653995,0.0001
70,1.3288586811818148,1.5973913484087985,0.0001
71,1.3235136670512182,1.667001215013037,0.0001
72,1.312043568947528,1.638123238055059,0.0001
73,1.3055299801481288,1.6273477864170518,0.0001
74,1.298800715541351,1.6054149132219466,0.0001
75,1.2884616464030938,1.623988131141536,0.0001
76,1.2859296796938324,1.6396669417362617,0.0001
77,1.2712877989699172,1.622093939354029,0.0001
78,1.2710033244410432,1.6542699720658605,0.0001
79,1.2637452898513406,1.7277924698476532,0.0001
80,1.2544393971478016,1.6791245693312469,0.0001
81,1.2514871945918555,1.6316916526115408,0.0001
82,1.2437841442676527,1.5820038989631244,0.0001
83,1.2382624204282846,1.6057321081196305,0.0001
84,1.2339543188781743,1.6481997246131568,0.0001
85,1.2274406499282855,1.5588707498508965,0.0001
86,1.218053536438884,1.6742760837671373,0.0001
87,1.2231225202060447,1.621846533624558,0.0001
88,1.2169429457116943,1.616610430017875,0.0001
89,1.2104853505264173,1.6553791136083496,0.0001
90,1.2026804734124878,1.6716540299588352,0.0001
91,1.1954413828710946,1.6468154582743149,0.0001
92,1.189678138688942,1.6730835197299383,0.0001
93,1.18426969644997,1.6280421078323764,0.0001
94,1.1889922497696104,1.7033310093148781,0.0001
95,1.1781301720986375,1.6326905265104399,0.0001
96,1.1770837917807417,1.6188181860405797,0.0001
97,1.1662268413546657,1.6096384825497647,0.0001
98,1.1653209077071296,1.6754647924477641,0.0001
99,1.1626866156158502,1.5884013225799691,0.0001
100,1.1579684641008334,1.6474618081945256,0.0001
End of training: 2022-08-15 15:38:47

Loss min training: 1.1579684641008334

Loss min test: 1.5550486810095039

Best epoch: 4

Correlação: (0.7063542729486053, 0.0)




--> Fold: 1

Format of train data: frames: 122714 , pressures: 122714 

Format of test data: frames: 44181 , pressures: 44181 

Begin of training: 2022-08-15 15:39:01

Epoch,train_loss,test_loss,lr
1,7.574366420313153,2.1807254594706866,0.0001
2,2.679440273641763,2.0804033335959193,0.0001
3,2.5301888668708106,2.1935880688288174,0.0001
4,2.482810354497007,2.239145100505174,0.0001
5,2.421335559671519,2.156610178481315,0.0001
6,2.382303639154546,2.2332835803853697,0.0001
7,2.340107664632984,2.2151674721484422,0.0001
8,2.307455437714926,2.336689792319884,0.0001
9,2.30086259058588,2.2381006308779345,0.0001
10,2.2598232562414515,2.27061104502564,0.0001
11,2.222391131632953,2.346772211475013,0.0001
12,2.206449985923792,2.217983346715688,0.0001
13,2.1782392157414123,2.2862856588788345,0.0001
14,2.153533480468909,2.3367590173528643,0.0001
15,2.12206402137351,2.2332574875349587,0.0001
16,2.1148401380517803,2.2578542234239847,0.0001
17,2.062984535202986,2.217614815815215,0.0001
18,2.0487998689790747,2.2650129763998907,0.0001
19,2.0255492512685533,2.1841770858975273,0.0001
20,2.0141001982514832,2.1711614564827264,0.0001
21,1.9870445558735725,2.1926612769409335,0.0001
22,1.9698550421535737,2.2367345996303545,0.0001
23,1.9579073228301405,2.2562581412521157,0.0001
24,1.9332181510745003,2.1790210566686428,0.0001
25,1.921267141092865,2.167587808601067,0.0001
26,1.8957065740651227,2.189626443308389,0.0001
27,1.8553305930699644,2.1670818954253006,0.0001
28,1.8469186145137155,2.153270273861205,0.0001
29,1.8335311094816225,2.154939227437386,0.0001
30,1.813550539899525,2.1722008307976277,0.0001
31,1.8098904998548029,2.1352039032617744,0.0001
32,1.7938460260979354,2.1522365600884954,0.0001
33,1.74750211156487,2.132501389736891,0.0001
34,1.749584351338184,2.106280536905395,0.0001
35,1.7322198688129091,2.129995173038908,0.0001
36,1.7125323120664897,2.1053163340607903,0.0001
37,1.6942413162687766,2.11009911365219,0.0001
38,1.6835436015272078,2.098731295040429,0.0001
39,1.6642983847833208,2.1060146607410037,0.0001
40,1.6562324487712268,2.083797387287808,0.0001
